asset_id,asset_type,location,latitude,longitude,project_code,phase,status,design_date,install_date,last_updated
AST0072,water_tower,Unknown,41.6459683,-89.227399,INFRA002,Construction,Installed,2024-02-21,2024-05-15,2024-10-27
AST0073,water_tower,Unknown,40.7562269,-88.4122825,INFRA002,Operation,Active,2024-02-08,2024-04-27,2024-07-30
AST0074,water_tower,Unknown,41.0530598,-89.0513934,INFRA001,Design,Planned,2024-02-03,,2024-02-03
AST0075,water_tower,Unknown,37.7482214,-88.9543833,INFRA002,Operation,Active,2024-01-26,2024-03-16,2024-05-30
AST0076,water_tower,Hillside Berkeley,41.8803542,-87.8932491,INFRA003,Operation,Active,2024-01-13,2024-03-22,2024-04-21
AST0077,water_tower,Unknown,41.883126,-87.9161659,INFRA003,Design,Planned,2024-01-18,,2024-01-18
AST0078,water_tower,Unknown,37.8753255,-88.9276005,INFRA003,Construction,Installed,2024-02-06,2024-05-04,2024-10-01
AST0079,water_tower,Unknown,42.0100274,-88.6749484,INFRA001,Operation,Active,2024-01-08,2024-03-16,2024-07-31
AST0080,water_tower,Unknown,41.9764668,-88.1950255,INFRA002,Operation,Active,2024-01-14,2024-02-29,2024-06-14
AST0081,water_tower,Unknown,41.8173918,-87.8203171,INFRA002,Design,Planned,2024-02-10,,2024-02-10
AST0082,water_tower,Unknown,38.0752619,-89.3881374,INFRA003,Construction,Installed,2024-02-09,2024-04-27,2024-10-19
AST0083,water_tower,Unknown,41.8604459,-87.8643306,INFRA003,Decommissioned,Retired,2024-01-19,2024-02-24,2024-07-21
AST0084,water_tower,Brookfield Water Tower,41.8207642,-87.8516845,INFRA003,Decommissioned,Retired,2024-01-04,2024-02-27,2024-07-24
AST0085,water_tower,Unknown,41.8577803,-87.8085444,INFRA002,Construction,Installed,2024-02-14,2024-03-29,2024-06-13
AST0086,water_tower,Unknown,41.799823,-87.7903194,INFRA003,Construction,Installed,2024-01-13,2024-03-09,2024-06-26
AST0087,water_tower,Unknown,41.9530292,-88.0337604,INFRA001,Operation,Active,2024-01-27,2024-03-10,2024-07-26
AST0088,water_tower,Unknown,41.6778828,-87.7105313,INFRA002,Construction,Installed,2024-02-23,2024-03-25,2024-05-23
AST0089,water_tower,Unknown,41.6723694,-87.6882318,INFRA003,Operation,Active,2024-01-20,2024-03-04,2024-04-20
AST0090,water_tower,Hillside Water Tower,41.8649866,-87.896944,INFRA001,Design,Planned,2024-02-08,,2024-02-08
AST0091,water_tower,Alsip Water Tower,41.658635,-87.7289711,INFRA001,Construction,Installed,2024-01-23,2024-04-15,2024-09-09
AST0092,water_tower,Alsip Water Tower,41.6763818,-87.7523841,INFRA003,Construction,Installed,2024-02-21,2024-05-16,2024-08-24
AST0093,water_tower,Unknown,41.9352584,-87.9452215,INFRA002,Construction,Installed,2024-02-29,2024-04-05,2024-09-01
AST0094,water_tower,Unknown,37.7526489,-88.4337839,INFRA001,Construction,Installed,2024-01-22,2024-04-20,2024-06-18
AST0095,water_tower,Unknown,41.9302893,-88.1555309,INFRA003,Decommissioned,Retired,2024-02-18,2024-04-26,2024-09-15
AST0096,water_tower,Unknown,41.4661642,-87.6683262,INFRA003,Construction,Installed,2024-01-06,2024-03-14,2024-07-21
AST0097,water_tower,Unknown,41.4599478,-87.7071895,INFRA001,Operation,Active,2024-02-06,2024-03-22,2024-04-29
AST0098,water_tower,Unknown,41.4983913,-87.8025621,INFRA003,Operation,Active,2024-01-15,2024-04-04,2024-08-21
AST0099,water_tower,Unknown,42.3016055,-87.8602034,INFRA002,Construction,Installed,2024-01-17,2024-02-18,2024-05-26
AST0100,water_tower,Unknown,41.5239066,-87.7497046,INFRA003,Construction,Installed,2024-02-21,2024-05-13,2024-09-22
AST0101,water_tower,Unknown,41.5530963,-89.0678003,INFRA002,Decommissioned,Retired,2024-01-18,2024-03-03,2024-05-15
AST0102,water_tower,Unknown,41.5553647,-89.0744314,INFRA003,Design,Planned,2024-01-04,,2024-01-04
AST0103,water_tower,Unknown,41.5614161,-89.1301849,INFRA003,Operation,Active,2024-03-01,2024-04-14,2024-05-23
AST0104,water_tower,Unknown,41.6501541,-88.4468587,INFRA003,Design,Planned,2024-02-06,,2024-02-06
AST0105,water_tower,Unknown,41.9946183,-88.1704975,INFRA003,Construction,Installed,2024-01-08,2024-02-27,2024-04-01
AST0106,water_tower,Unknown,38.5933928,-89.8962786,INFRA002,Decommissioned,Retired,2024-01-14,2024-04-09,2024-07-02
AST0107,water_tower,Unknown,38.6394525,-89.9425092,INFRA002,Construction,Installed,2024-02-13,2024-04-11,2024-06-18
AST0108,water_tower,Unknown,38.8000563,-90.0040271,INFRA002,Design,Planned,2024-01-29,,2024-01-29
AST0109,water_tower,Unknown,38.6246097,-89.8915632,INFRA001,Construction,Installed,2024-01-30,2024-03-17,2024-05-08
AST0110,water_tower,Niles Water Tower,42.0371459,-87.8164189,INFRA002,Construction,Installed,2024-02-04,2024-04-20,2024-10-15
AST0111,water_tower,Unknown,42.0135849,-87.7665885,INFRA001,Construction,Installed,2024-01-20,2024-03-30,2024-06-27
AST0112,water_tower,Unknown,42.0170764,-87.7691959,INFRA002,Decommissioned,Retired,2024-01-13,2024-02-13,2024-05-03
AST0113,water_tower,Unknown,42.0745825,-88.3448624,INFRA002,Operation,Active,2024-01-02,2024-03-29,2024-07-26
AST0114,water_tower,Unknown,40.757043,-88.0059911,INFRA001,Design,Planned,2024-01-30,,2024-01-30
AST0115,water_tower,Morton Grove Water Tower,42.0272358,-87.7790418,INFRA002,Decommissioned,Retired,2024-01-21,2024-02-20,2024-07-22
AST0116,water_tower,Unknown,38.6981723,-88.0806103,INFRA001,Design,Planned,2024-01-26,,2024-01-26
AST0117,water_tower,Unknown,38.7152195,-88.0832049,INFRA002,Construction,Installed,2024-02-04,2024-04-17,2024-07-18
AST0118,water_tower,Unknown,38.728121,-88.0747373,INFRA002,Design,Planned,2024-01-02,,2024-01-02
AST0119,water_tower,Unknown,38.7459486,-88.0673809,INFRA002,Decommissioned,Retired,2024-02-10,2024-05-07,2024-08-20
AST0120,water_tower,Lansing Water Tower,41.5633322,-87.5437827,INFRA003,Operation,Active,2024-01-02,2024-03-24,2024-06-03
AST0121,water_tower,Harwood Heights Water Tower,41.964955,-87.8124843,INFRA003,Design,Planned,2024-02-12,,2024-02-12
AST0122,water_tower,Kenilworth Water Tower,42.0892994,-87.7222838,INFRA001,Operation,Active,2024-01-23,2024-03-28,2024-08-30
AST0123,water_tower,Harvard Water Tower,42.4188354,-88.6152293,INFRA001,Construction,Installed,2024-02-09,2024-04-30,2024-10-23
AST0124,water_tower,Unknown,42.1318729,-88.1368543,INFRA003,Design,Planned,2024-01-11,,2024-01-11
AST0125,water_tower,Unknown,38.6988556,-88.224384,INFRA003,Design,Planned,2024-02-13,,2024-02-13
AST0126,water_tower,Unknown,39.9339395,-91.3987562,INFRA001,Construction,Installed,2024-01-21,2024-03-27,2024-05-02
AST0127,water_tower,Merrionette Park Water Tower,41.6801936,-87.7011485,INFRA003,Design,Planned,2024-02-06,,2024-02-06
AST0128,water_tower,Stickney Water Tower,41.8212728,-87.7539913,INFRA003,Design,Planned,2024-01-12,,2024-01-12
AST0129,water_tower,Unknown,41.8736912,-87.9129035,INFRA002,Design,Planned,2024-01-15,,2024-01-15
AST0130,water_tower,Unknown,41.6520938,-87.8587693,INFRA001,Operation,Active,2024-02-02,2024-03-24,2024-05-01
AST0131,water_tower,Unknown,41.6521959,-87.8427165,INFRA001,Operation,Active,2024-02-07,2024-04-02,2024-06-17
AST0132,water_tower,Unknown,41.6470223,-87.6127327,INFRA001,Operation,Active,2024-01-22,2024-03-17,2024-04-30
AST0133,water_tower,Unknown,41.7331936,-87.8604304,INFRA003,Operation,Active,2024-01-07,2024-03-12,2024-06-05
AST0134,water_tower,Unknown,41.7022145,-87.7814486,INFRA002,Operation,Active,2024-02-21,2024-05-01,2024-09-05
AST0135,water_tower,Unknown,41.7861244,-87.934193,INFRA001,Design,Planned,2024-02-02,,2024-02-02
AST0136,water_tower,Unknown,41.9228562,-87.7916935,INFRA003,Construction,Installed,2024-02-18,2024-05-01,2024-06-12
AST0137,water_tower,Unknown,41.6579722,-87.6560921,INFRA003,Operation,Active,2024-01-27,2024-03-26,2024-08-11
AST0138,water_tower,Unknown,41.646216,-87.673979,INFRA002,Decommissioned,Retired,2024-01-13,2024-03-06,2024-04-27
AST0139,water_tower,Unknown,41.9135574,-87.950484,INFRA001,Construction,Installed,2024-02-05,2024-04-29,2024-08-18
AST0140,water_tower,Unknown,42.0515675,-88.5484664,INFRA002,Operation,Active,2024-02-20,2024-05-11,2024-07-12
AST0141,water_tower,Unknown,41.5448843,-87.5411708,INFRA002,Operation,Active,2024-02-14,2024-03-28,2024-06-01
AST0142,water_tower,Unknown,41.5253206,-87.7082563,INFRA001,Operation,Active,2024-02-16,2024-04-19,2024-08-27
AST0143,water_tower,Unknown,41.5323468,-87.7046083,INFRA002,Construction,Installed,2024-01-04,2024-02-10,2024-06-14
AST0144,water_tower,Unknown,42.0852559,-88.4553342,INFRA001,Construction,Installed,2024-02-20,2024-05-08,2024-07-22
AST0145,water_tower,South Stickney Sanitary District Water Tower,41.7503138,-87.7457883,INFRA001,Operation,Active,2024-01-23,2024-03-14,2024-08-27
AST0146,water_tower,Unknown,40.940636,-90.3643034,INFRA002,Operation,Active,2024-02-20,2024-04-03,2024-05-11
AST0147,water_tower,Unknown,41.8731997,-87.9277089,INFRA001,Operation,Active,2024-02-28,2024-04-09,2024-06-23
AST0148,water_tower,Unknown,41.9187718,-88.0135695,INFRA001,Operation,Active,2024-01-28,2024-04-07,2024-05-29
AST0149,water_tower,Unknown,41.8451637,-87.8075334,INFRA002,Decommissioned,Retired,2024-01-02,2024-02-21,2024-08-02
AST0150,water_tower,Unknown,41.9048503,-88.4719161,INFRA003,Operation,Active,2024-01-21,2024-03-28,2024-08-10
AST0151,water_tower,Unknown,41.8992733,-88.4711251,INFRA002,Design,Planned,2024-01-23,,2024-01-23
AST0152,water_tower,Unknown,42.1599072,-88.1266519,INFRA001,Decommissioned,Retired,2024-02-07,2024-04-02,2024-06-27
AST0153,water_tower,Unknown,39.9310124,-88.9626373,INFRA002,Design,Planned,2024-02-01,,2024-02-01
AST0154,water_tower,Oak Lawn Water Tower,41.7139731,-87.7634256,INFRA003,Construction,Installed,2024-02-01,2024-04-20,2024-08-27
AST0155,water_tower,Unknown,39.920917,-88.9622799,INFRA001,Operation,Active,2024-01-13,2024-03-15,2024-08-19
AST0156,water_tower,Unknown,41.9057925,-88.0957804,INFRA003,Operation,Active,2024-01-15,2024-03-14,2024-04-18
AST0157,water_tower,Unknown,41.6253008,-87.8338609,INFRA002,Design,Planned,2024-01-14,,2024-01-14
AST0158,water_tower,Unknown,41.7414125,-87.9692176,INFRA001,Operation,Active,2024-01-28,2024-03-11,2024-08-23
AST0159,water_tower,Unknown,40.6309655,-89.4811311,INFRA002,Decommissioned,Retired,2024-01-26,2024-02-25,2024-05-11
AST0160,water_tower,Unknown,42.1224935,-88.4996797,INFRA001,Construction,Installed,2024-01-26,2024-03-04,2024-08-21
AST0161,water_tower,Unknown,40.6074182,-89.471975,INFRA002,Construction,Installed,2024-01-13,2024-02-18,2024-05-16
AST0162,water_tower,Unknown,40.617231,-89.4555167,INFRA001,Design,Planned,2024-02-23,,2024-02-23
AST0163,water_tower,Unknown,38.6910987,-90.1746684,INFRA001,Operation,Active,2024-02-26,2024-04-15,2024-10-11
AST0164,water_tower,South Holland Water Tower,41.5873585,-87.5819832,INFRA001,Operation,Active,2024-02-25,2024-05-07,2024-08-22
AST0165,water_tower,Unknown,42.1541451,-88.4063388,INFRA002,Design,Planned,2024-01-26,,2024-01-26
AST0166,water_tower,Unknown,41.3435226,-87.6321405,INFRA001,Construction,Installed,2024-01-04,2024-02-10,2024-07-15
AST0167,water_tower,Unknown,42.1066916,-88.0131999,INFRA003,Construction,Installed,2024-01-29,2024-04-10,2024-05-22
AST0168,water_tower,Unknown,38.6044912,-89.6756317,INFRA002,Operation,Active,2024-02-17,2024-05-08,2024-06-15
AST0169,water_tower,Unknown,38.1565623,-88.0237586,INFRA003,Decommissioned,Retired,2024-01-24,2024-04-11,2024-06-21
AST0170,water_tower,Unknown,42.1176001,-87.9808871,INFRA003,Design,Planned,2024-02-02,,2024-02-02
AST0171,water_tower,Unknown,42.1200273,-88.0489402,INFRA001,Decommissioned,Retired,2024-02-06,2024-03-22,2024-08-22
AST0172,water_tower,Lynwood Water Tower,41.5279772,-87.5539793,INFRA001,Operation,Active,2024-01-31,2024-03-11,2024-07-20
AST0173,water_tower,Homewood Water Tower,41.5556806,-87.6472431,INFRA001,Decommissioned,Retired,2024-01-08,2024-04-05,2024-07-06
AST0174,water_tower,Unknown,41.4717858,-87.6448394,INFRA003,Construction,Installed,2024-01-14,2024-03-12,2024-06-05
AST0175,water_tower,Unknown,41.5283157,-87.8877006,INFRA002,Construction,Installed,2024-01-17,2024-03-07,2024-06-22
AST0176,water_tower,Unknown,41.5675282,-87.7998445,INFRA002,Construction,Installed,2024-02-12,2024-05-09,2024-09-08
AST0177,water_tower,Oak Forest Water Tower,41.589829,-87.718843,INFRA002,Operation,Active,2024-01-06,2024-03-03,2024-05-10
AST0178,water_tower,Markham Water Tower,41.5924818,-87.6936285,INFRA001,Operation,Active,2024-01-01,2024-02-25,2024-08-10
AST0179,water_tower,Unknown,41.6103449,-87.7865201,INFRA003,Design,Planned,2024-01-07,,2024-01-07
AST0180,water_tower,Unknown,41.4252655,-87.757655,INFRA001,Construction,Installed,2024-02-23,2024-05-02,2024-07-08
AST0181,water_tower,Unknown,42.1284345,-88.0763792,INFRA002,Operation,Active,2024-02-15,2024-04-26,2024-06-27
AST0182,water_tower,Unknown,41.4166457,-88.2724708,INFRA003,Operation,Active,2024-02-02,2024-03-21,2024-06-23
AST0183,water_tower,Unknown,40.0493495,-88.5729416,INFRA002,Design,Planned,2024-01-30,,2024-01-30
AST0184,water_tower,Unknown,40.0263173,-88.5695214,INFRA001,Construction,Installed,2024-01-24,2024-04-17,2024-06-24
AST0185,water_tower,Unknown,41.421069,-87.5448596,INFRA002,Construction,Installed,2024-02-18,2024-03-22,2024-07-17
AST0186,water_tower,Unknown,42.1495204,-88.0234163,INFRA003,Design,Planned,2024-01-16,,2024-01-16
AST0187,water_tower,Unknown,40.9735657,-90.3560029,INFRA001,Operation,Active,2024-02-14,2024-03-21,2024-08-11
AST0188,water_tower,Unknown,41.5458211,-87.613246,INFRA001,Construction,Installed,2024-01-26,2024-03-09,2024-07-27
AST0189,water_tower,Unknown,40.9360848,-90.3803651,INFRA002,Operation,Active,2024-01-14,2024-03-29,2024-06-18
AST0190,water_tower,Unknown,40.9101356,-90.2811066,INFRA001,Construction,Installed,2024-02-11,2024-03-28,2024-06-28
AST0191,water_tower,Unknown,40.8962421,-90.2825048,INFRA001,Operation,Active,2024-02-26,2024-04-21,2024-10-09
AST0192,water_tower,Unknown,42.3495676,-88.0633345,INFRA001,Operation,Active,2024-02-16,2024-04-18,2024-07-23
AST0193,water_tower,Summit Water Tower,41.7840549,-87.8041642,INFRA001,Construction,Installed,2024-01-30,2024-03-16,2024-09-11
AST0194,water_tower,Unknown,41.6597873,-87.7534572,INFRA002,Operation,Active,2024-01-14,2024-04-13,2024-07-06
AST0195,water_tower,Unknown,41.6158556,-88.42436,INFRA003,Design,Planned,2024-02-20,,2024-02-20
AST0196,water_tower,Unknown,40.7036519,-89.2763998,INFRA002,Construction,Installed,2024-01-10,2024-03-17,2024-05-13
AST0197,water_tower,Unknown,37.6141529,-89.2328827,INFRA003,Operation,Active,2024-01-16,2024-03-10,2024-07-26
AST0198,water_tower,Unknown,37.5935088,-89.184193,INFRA003,Design,Planned,2024-01-15,,2024-01-15
AST0199,water_tower,Unknown,37.6660875,-89.2405189,INFRA003,Construction,Installed,2024-01-10,2024-03-07,2024-08-17
AST0200,water_tower,Unknown,37.7668494,-89.3421318,INFRA002,Operation,Active,2024-02-19,2024-04-16,2024-09-11
AST0201,water_tower,Unknown,37.7497556,-89.3224524,INFRA002,Construction,Installed,2024-01-01,2024-02-20,2024-06-24
AST0202,water_tower,Unknown,37.9013476,-89.335276,INFRA003,Operation,Active,2024-01-27,2024-04-21,2024-08-04
AST0203,water_tower,Unknown,38.0801581,-89.4023849,INFRA003,Operation,Active,2024-02-08,2024-04-02,2024-08-23
AST0204,water_tower,Unknown,42.1683509,-88.3050754,INFRA001,Design,Planned,2024-02-06,,2024-02-06
AST0205,water_tower,Unknown,42.2628956,-88.0455972,INFRA001,Operation,Active,2024-01-22,2024-03-02,2024-07-17
AST0206,water_tower,Unknown,42.3494929,-87.9459129,INFRA002,Construction,Installed,2024-01-05,2024-02-26,2024-07-20
AST0207,water_tower,Unknown,42.1622257,-88.2773007,INFRA002,Design,Planned,2024-01-24,,2024-01-24
AST0208,water_tower,Unknown,42.187709,-88.3737381,INFRA003,Decommissioned,Retired,2024-01-04,2024-03-23,2024-07-03
AST0209,water_tower,Unknown,42.1559119,-88.2630669,INFRA001,Design,Planned,2024-01-16,,2024-01-16
AST0210,water_tower,Unknown,42.1760221,-88.2834383,INFRA003,Operation,Active,2024-02-29,2024-04-17,2024-10-01
AST0211,water_tower,Unknown,41.5661932,-87.8899474,INFRA003,Construction,Installed,2024-01-20,2024-03-03,2024-07-22
AST0212,water_tower,Unknown,41.6364435,-88.0979913,INFRA001,Operation,Active,2024-02-10,2024-04-25,2024-10-01
AST0213,water_tower,Unknown,41.321503,-89.1682705,INFRA002,Operation,Active,2024-01-28,2024-04-19,2024-08-09
AST0214,water_tower,Wauconda,42.2621865,-88.1195054,INFRA001,Construction,Installed,2024-02-28,2024-04-27,2024-08-21
AST0215,water_tower,Unknown,42.1115177,-88.336686,INFRA003,Operation,Active,2024-01-05,2024-03-27,2024-09-11
AST0216,water_tower,Unknown,38.4637157,-90.1017767,INFRA003,Design,Planned,2024-02-09,,2024-02-09
AST0217,water_tower,Unknown,37.7173608,-89.4840403,INFRA002,Design,Planned,2024-01-29,,2024-01-29
AST0218,water_tower,Unknown,41.4614298,-90.1598375,INFRA002,Operation,Active,2024-02-18,2024-04-02,2024-09-01
AST0219,water_tower,Unknown,42.4756393,-90.2558518,INFRA003,Operation,Active,2024-02-12,2024-04-11,2024-08-12
AST0220,water_tower,Unknown,42.4972334,-89.9897142,INFRA003,Construction,Installed,2024-01-31,2024-04-07,2024-08-28
AST0221,water_tower,Unknown,42.496583,-89.9871323,INFRA002,Decommissioned,Retired,2024-02-09,2024-03-17,2024-05-02
AST0222,water_tower,Unknown,41.9585158,-88.1544197,INFRA002,Construction,Installed,2024-02-13,2024-03-15,2024-08-17
AST0223,water_tower,Carpentersville,42.1251048,-88.3393102,INFRA001,Construction,Installed,2024-01-03,2024-03-01,2024-07-10
