asset_id,asset_type,location,latitude,longitude
AST0038,water_tower,Unknown,41.9811681,-88.0667149
AST0039,water_tower,Stream Wood,42.0126521,-88.2113554
AST0040,water_tower,Hoffman Estates,42.0706558,-88.2293978
AST0041,water_tower,Unknown,42.1418104,-88.2602084
AST0042,water_tower,Chicago Rawhide,42.0564542,-88.2977598
AST0043,water_tower,Unknown,42.0350413,-88.3292078
AST0044,water_tower,Unknown,42.0141794,-88.3346483
AST0045,water_tower,Unknown,41.8853589,-88.2058255
AST0046,water_tower,Unknown,41.9885037,-88.1244129
AST0047,water_tower,Unknown,41.8843959,-88.5322309
AST0048,water_tower,Unknown,42.3377957,-88.2778625
AST0049,water_tower,Unknown,42.44668,-88.3062689
AST0050,water_tower,Unknown,42.4804798,-88.3084549
AST0051,water_tower,Unknown,42.1878648,-88.3124235
AST0052,water_tower,Unknown,42.379537,-89.0266324
AST0053,water_tower,Unknown,42.104725,-88.2976151
AST0054,water_tower,Unknown,42.0206538,-88.1498162
AST0055,water_tower,Unknown,41.9735078,-88.6906378
AST0056,water_tower,Hoffman Estates Water Tower,42.0485767,-88.0778185
AST0057,water_tower,Unknown,41.4806205,-88.0699788
AST0058,water_tower,Unknown,39.4779603,-90.0426907
AST0059,water_tower,Unknown,41.998562,-88.1088164
AST0060,water_tower,Unknown,41.9615694,-88.2956515
AST0061,water_tower,Northbrook Water Tower,42.1294223,-87.8290908
AST0062,water_tower,Unknown,41.9705211,-90.1045204
AST0063,water_tower,Unknown,42.4167466,-88.0792941
AST0064,water_tower,Unknown,41.9982129,-88.0261944
AST0065,water_tower,Unknown,42.10879,-88.1137884
AST0066,water_tower,Unknown,42.1030391,-88.1128765
AST0067,water_tower,Unknown,42.0961348,-88.1224713
AST0068,water_tower,Bloomingdale,41.9467517,-88.0768696
AST0069,water_tower,Unknown,41.8883678,-87.980082
AST0070,water_tower,Unknown,41.8505209,-87.9253289
AST0071,water_tower,Unknown,42.1043075,-89.834153
AST0072,water_tower,Unknown,41.6459683,-89.227399
AST0073,water_tower,Unknown,40.7562269,-88.4122825
AST0074,water_tower,Unknown,41.0530598,-89.0513934
AST0075,water_tower,Unknown,37.7482214,-88.9543833
AST0076,water_tower,Hillside Berkeley,41.8803542,-87.8932491
AST0077,water_tower,Unknown,41.883126,-87.9161659
AST0078,water_tower,Unknown,37.8753255,-88.9276005
AST0079,water_tower,Unknown,42.0100274,-88.6749484
AST0080,water_tower,Unknown,41.9764668,-88.1950255
AST0081,water_tower,Unknown,41.8173918,-87.8203171
AST0082,water_tower,Unknown,38.0752619,-89.3881374
AST0083,water_tower,Unknown,41.8604459,-87.8643306
AST0084,water_tower,Brookfield Water Tower,41.8207642,-87.8516845
AST0085,water_tower,Unknown,41.8577803,-87.8085444
AST0086,water_tower,Unknown,41.799823,-87.7903194
AST0087,water_tower,Unknown,41.9530292,-88.0337604
AST0088,water_tower,Unknown,41.6778828,-87.7105313
AST0089,water_tower,Unknown,41.6723694,-87.6882318
AST0090,water_tower,Hillside Water Tower,41.8649866,-87.896944
AST0091,water_tower,Alsip Water Tower,41.658635,-87.7289711
AST0092,water_tower,Alsip Water Tower,41.6763818,-87.7523841
AST0093,water_tower,Unknown,41.9352584,-87.9452215
AST0094,water_tower,Unknown,37.7526489,-88.4337839
AST0095,water_tower,Unknown,41.9302893,-88.1555309
AST0096,water_tower,Unknown,41.4661642,-87.6683262
AST0097,water_tower,Unknown,41.4599478,-87.7071895
AST0098,water_tower,Unknown,41.4983913,-87.8025621
AST0099,water_tower,Unknown,42.3016055,-87.8602034
AST0100,water_tower,Unknown,41.5239066,-87.7497046
AST0101,water_tower,Unknown,41.5530963,-89.0678003
AST0102,water_tower,Unknown,41.5553647,-89.0744314
AST0103,water_tower,Unknown,41.5614161,-89.1301849
AST0104,water_tower,Unknown,41.6501541,-88.4468587
AST0105,water_tower,Unknown,41.9946183,-88.1704975
AST0106,water_tower,Unknown,38.5933928,-89.8962786
AST0107,water_tower,Unknown,38.6394525,-89.9425092
AST0108,water_tower,Unknown,38.8000563,-90.0040271
AST0109,water_tower,Unknown,38.6246097,-89.8915632
AST0110,water_tower,Niles Water Tower,42.0371459,-87.8164189
AST0111,water_tower,Unknown,42.0135849,-87.7665885
AST0112,water_tower,Unknown,42.0170764,-87.7691959
AST0113,water_tower,Unknown,42.0745825,-88.3448624
AST0114,water_tower,Unknown,40.757043,-88.0059911
AST0115,water_tower,Morton Grove Water Tower,42.0272358,-87.7790418
AST0116,water_tower,Unknown,38.6981723,-88.0806103
AST0117,water_tower,Unknown,38.7152195,-88.0832049
AST0118,water_tower,Unknown,38.728121,-88.0747373
AST0119,water_tower,Unknown,38.7459486,-88.0673809
AST0120,water_tower,Lansing Water Tower,41.5633322,-87.5437827
AST0121,water_tower,Harwood Heights Water Tower,41.964955,-87.8124843
AST0122,water_tower,Kenilworth Water Tower,42.0892994,-87.7222838
AST0123,water_tower,Harvard Water Tower,42.4188354,-88.6152293
AST0124,water_tower,Unknown,42.1318729,-88.1368543
AST0125,water_tower,Unknown,38.6988556,-88.224384
AST0126,water_tower,Unknown,39.9339395,-91.3987562
AST0127,water_tower,Merrionette Park Water Tower,41.6801936,-87.7011485
AST0128,water_tower,Stickney Water Tower,41.8212728,-87.7539913
AST0129,water_tower,Unknown,41.8736912,-87.9129035
AST0130,water_tower,Unknown,41.6520938,-87.8587693
AST0131,water_tower,Unknown,41.6521959,-87.8427165
AST0132,water_tower,Unknown,41.6470223,-87.6127327
AST0133,water_tower,Unknown,41.7331936,-87.8604304
AST0134,water_tower,Unknown,41.7022145,-87.7814486
AST0135,water_tower,Unknown,41.7861244,-87.934193
AST0136,water_tower,Unknown,41.9228562,-87.7916935
AST0137,water_tower,Unknown,41.6579722,-87.6560921
AST0138,water_tower,Unknown,41.646216,-87.673979
AST0139,water_tower,Unknown,41.9135574,-87.950484
AST0140,water_tower,Unknown,42.0515675,-88.5484664
AST0141,water_tower,Unknown,41.5448843,-87.5411708
AST0142,water_tower,Unknown,41.5253206,-87.7082563
AST0143,water_tower,Unknown,41.5323468,-87.7046083
AST0144,water_tower,Unknown,42.0852559,-88.4553342
AST0145,water_tower,South Stickney Sanitary District Water Tower,41.7503138,-87.7457883
AST0146,water_tower,Unknown,40.940636,-90.3643034
AST0147,water_tower,Unknown,41.8731997,-87.9277089
AST0148,water_tower,Unknown,41.9187718,-88.0135695
AST0149,water_tower,Unknown,41.8451637,-87.8075334
AST0150,water_tower,Unknown,41.9048503,-88.4719161
AST0151,water_tower,Unknown,41.8992733,-88.4711251
AST0152,water_tower,Unknown,42.1599072,-88.1266519
AST0153,water_tower,Unknown,39.9310124,-88.9626373
AST0154,water_tower,Oak Lawn Water Tower,41.7139731,-87.7634256
AST0155,water_tower,Unknown,39.920917,-88.9622799
AST0156,water_tower,Unknown,41.9057925,-88.0957804
AST0157,water_tower,Unknown,41.6253008,-87.8338609
AST0158,water_tower,Unknown,41.7414125,-87.9692176
AST0159,water_tower,Unknown,40.6309655,-89.4811311
AST0160,water_tower,Unknown,42.1224935,-88.4996797
AST0161,water_tower,Unknown,40.6074182,-89.471975
AST0162,water_tower,Unknown,40.617231,-89.4555167
AST0163,water_tower,Unknown,38.6910987,-90.1746684
AST0164,water_tower,South Holland Water Tower,41.5873585,-87.5819832
AST0165,water_tower,Unknown,42.1541451,-88.4063388
AST0166,water_tower,Unknown,41.3435226,-87.6321405
AST0167,water_tower,Unknown,42.1066916,-88.0131999
AST0168,water_tower,Unknown,38.6044912,-89.6756317
AST0169,water_tower,Unknown,38.1565623,-88.0237586
AST0170,water_tower,Unknown,42.1176001,-87.9808871
AST0171,water_tower,Unknown,42.1200273,-88.0489402
AST0172,water_tower,Lynwood Water Tower,41.5279772,-87.5539793
AST0173,water_tower,Homewood Water Tower,41.5556806,-87.6472431
AST0174,water_tower,Unknown,41.4717858,-87.6448394
AST0175,water_tower,Unknown,41.5283157,-87.8877006
AST0176,water_tower,Unknown,41.5675282,-87.7998445
AST0177,water_tower,Oak Forest Water Tower,41.589829,-87.718843
AST0178,water_tower,Markham Water Tower,41.5924818,-87.6936285
AST0179,water_tower,Unknown,41.6103449,-87.7865201
AST0180,water_tower,Unknown,41.4252655,-87.757655
AST0181,water_tower,Unknown,42.1284345,-88.0763792
AST0182,water_tower,Unknown,41.4166457,-88.2724708
AST0183,water_tower,Unknown,40.0493495,-88.5729416
AST0184,water_tower,Unknown,40.0263173,-88.5695214
AST0185,water_tower,Unknown,41.421069,-87.5448596
AST0186,water_tower,Unknown,42.1495204,-88.0234163
AST0187,water_tower,Unknown,40.9735657,-90.3560029
AST0188,water_tower,Unknown,41.5458211,-87.613246
AST0189,water_tower,Unknown,40.9360848,-90.3803651
AST0190,water_tower,Unknown,40.9101356,-90.2811066
AST0191,water_tower,Unknown,40.8962421,-90.2825048
AST0192,water_tower,Unknown,42.3495676,-88.0633345
AST0193,water_tower,Summit Water Tower,41.7840549,-87.8041642
AST0194,water_tower,Unknown,41.6597873,-87.7534572
AST0195,water_tower,Unknown,41.6158556,-88.42436
AST0196,water_tower,Unknown,40.7036519,-89.2763998
AST0197,water_tower,Unknown,37.6141529,-89.2328827
AST0198,water_tower,Unknown,37.5935088,-89.184193
AST0199,water_tower,Unknown,37.6660875,-89.2405189
AST0200,water_tower,Unknown,37.7668494,-89.3421318
AST0201,water_tower,Unknown,37.7497556,-89.3224524
AST0202,water_tower,Unknown,37.9013476,-89.335276
AST0203,water_tower,Unknown,38.0801581,-89.4023849
AST0204,water_tower,Unknown,42.1683509,-88.3050754
AST0205,water_tower,Unknown,42.2628956,-88.0455972
AST0206,water_tower,Unknown,42.3494929,-87.9459129
AST0207,water_tower,Unknown,42.1622257,-88.2773007
AST0208,water_tower,Unknown,42.187709,-88.3737381
AST0209,water_tower,Unknown,42.1559119,-88.2630669
AST0210,water_tower,Unknown,42.1760221,-88.2834383
AST0211,water_tower,Unknown,41.5661932,-87.8899474
AST0212,water_tower,Unknown,41.6364435,-88.0979913
AST0213,water_tower,Unknown,41.321503,-89.1682705
AST0214,water_tower,Wauconda,42.2621865,-88.1195054
AST0215,water_tower,Unknown,42.1115177,-88.336686
AST0216,water_tower,Unknown,38.4637157,-90.1017767
AST0217,water_tower,Unknown,37.7173608,-89.4840403
AST0218,water_tower,Unknown,41.4614298,-90.1598375
AST0219,water_tower,Unknown,42.4756393,-90.2558518
AST0220,water_tower,Unknown,42.4972334,-89.9897142
AST0221,water_tower,Unknown,42.496583,-89.9871323
AST0222,water_tower,Unknown,41.9585158,-88.1544197
AST0223,water_tower,Carpentersville,42.1251048,-88.3393102
AST0224,water_tower,Unknown,42.1759998,-88.328239
AST0225,water_tower,Unknown,37.6875653,-88.6207338
AST0226,water_tower,Unknown,41.8783022,-87.8722673
AST0227,water_tower,Unknown,41.9007351,-88.2157065
AST0228,water_tower,Unknown,42.0206702,-87.9115893
AST0229,water_tower,Unknown,38.6899373,-89.989213
AST0230,water_tower,Unknown,42.1489913,-87.860795
AST0231,water_tower,Unknown,42.4217923,-87.835808
AST0232,water_tower,Unknown,42.2426623,-87.9878975
AST0233,water_tower,Unknown,42.4783988,-87.8762452
AST0234,water_tower,Unknown,42.3340587,-88.0349528
AST0235,water_tower,Unknown,42.1621473,-88.3175992
AST0236,water_tower,Unknown,41.2846417,-88.2798745
AST0237,water_tower,Unknown,41.281593,-88.2845635
AST0238,water_tower,Unknown,41.2909591,-88.2459921
AST0239,water_tower,Unknown,41.2941287,-88.2868462
AST0240,water_tower,Unknown,42.1989969,-88.2618647
AST0241,water_tower,Unknown,42.2423186,-87.976095
AST0242,water_tower,Unknown,42.2917874,-88.4009307
AST0243,water_tower,Unknown,42.2749655,-88.0383281
AST0244,water_tower,Unknown,41.7681323,-88.6443623
AST0245,water_tower,Unknown,42.2885767,-87.9510017
AST0246,water_tower,Calumet City (Pink Smiley Face) Water Tower,41.6304677,-87.5670958
AST0247,water_tower,East Hazel Crest Water Tower,41.5745499,-87.6626909
AST0248,water_tower,Ford Heights Water Tower,41.502029,-87.5868311
AST0249,water_tower,Unknown,42.4536588,-87.8761205
AST0250,water_tower,South Chicago Heights Water Tower,41.4887757,-87.635561
AST0251,water_tower,Unknown,42.3855815,-87.9405948
AST0252,water_tower,Unknown,40.6729416,-89.5401557
AST0253,water_tower,Unknown,42.298711,-87.9971849
AST0254,water_tower,Unknown,41.2908134,-89.0621976
AST0255,water_tower,Unknown,42.3398698,-88.0107588
AST0256,water_tower,Unknown,42.4675797,-87.9969633
AST0257,water_tower,Unknown,42.3080192,-88.2737612
AST0258,water_tower,Unknown,42.3958365,-87.9868817
AST0259,water_tower,Unknown,42.2742062,-87.9601129
AST0260,water_tower,Unknown,41.1016436,-87.868184
AST0261,water_tower,Unknown,41.7614862,-89.6994429
AST0262,water_tower,Unknown,41.9274991,-87.6844676
AST0263,water_tower,Unknown,41.433458,-88.2690282
AST0264,water_tower,Unknown,41.9896934,-87.9775232
AST0265,water_tower,Unknown,41.7012615,-88.1657482
AST0266,water_tower,Robbins Water Tower,41.6460998,-87.6984069
AST0267,water_tower,Thornton Water Tower,41.5691111,-87.608312
AST0268,water_tower,Unknown,41.5140908,-88.2344312
AST0269,water_tower,Unknown,41.6132661,-88.0145809
AST0270,water_tower,Unknown,39.5041735,-89.770654
AST0271,water_tower,Unknown,41.9971641,-87.9772529
AST0272,water_tower,Unknown,38.1896542,-89.6102259
AST0273,water_tower,Unknown,42.1453118,-88.1355458
AST0274,water_tower,Unknown,42.0144471,-87.9351597
AST0275,water_tower,Unknown,40.6288414,-89.5471118
AST0276,water_tower,Unknown,40.6286064,-89.547402
AST0277,water_tower,Unknown,39.8433983,-89.528053
AST0278,water_tower,Unknown,41.4836262,-88.2755861
AST0279,water_tower,Unknown,39.6753653,-89.8462815
AST0280,water_tower,Unknown,39.8956157,-89.6210466
AST0281,water_tower,Unknown,39.5237424,-89.7601686
AST0282,water_tower,Unknown,39.7556281,-89.5313774
AST0283,water_tower,Unknown,39.8445039,-89.0426626
AST0284,water_tower,Northlake Water Tower,41.9254886,-87.9189424
AST0285,water_tower,Franklin Park Water Tower,41.9361518,-87.863555
AST0286,water_tower,Unknown,41.5964801,-87.7337452
AST0287,water_tower,Unknown,41.8974584,-87.8928616
AST0288,water_tower,Unknown,41.8910501,-87.9004878
AST0289,water_tower,Unknown,41.8977535,-87.9133131
AST0290,water_tower,Unknown,39.8535562,-89.453647
AST0291,water_tower,Unknown,39.8530809,-89.460145
AST0292,water_tower,Unknown,41.8049936,-87.7723789
AST0293,water_tower,Des Plaines Water Tower,42.0403767,-87.8768289
AST0294,water_tower,Unknown,41.9048641,-87.8660685
AST0295,water_tower,Unknown,42.1753536,-87.882621
AST0296,water_tower,Unknown,42.1678899,-88.442406
AST0297,water_tower,Unknown,42.2275232,-88.28529
AST0298,water_tower,Unknown,40.0992418,-89.0864115
AST0299,water_tower,Unknown,41.7397265,-87.7957073
AST0300,water_tower,Odell Water Tower,40.9999707,-88.5259882
AST0301,water_tower,Unknown,42.2923764,-88.2939059
AST0302,water_tower,Unknown,42.3193751,-88.306126
AST0303,water_tower,Unknown,42.1784008,-88.4257881
AST0304,water_tower,Unknown,42.3987396,-88.2224876
AST0305,water_tower,Unknown,42.3804154,-88.2708106
AST0306,water_tower,Unknown,42.054975,-87.8936207
AST0307,water_tower,Unknown,39.8560914,-89.1633722
AST0308,water_tower,Unknown,39.849549,-89.254935
AST0309,water_tower,Unknown,37.7427481,-88.5664235
AST0310,water_tower,Unknown,39.1871206,-88.6517817
AST0311,water_tower,Unknown,41.4977237,-90.4776711
AST0312,water_tower,Unknown,42.3877233,-88.2953232
AST0313,water_tower,Unknown,42.4804613,-88.3084904
AST0314,water_tower,Unknown,42.4794407,-88.309223
AST0315,water_tower,Unknown,41.4416516,-87.6514712
AST0316,water_tower,Unknown,41.5393427,-87.8454685
AST0317,water_tower,Unknown,42.1319633,-88.4281669
AST0318,water_tower,Unknown,41.911648,-88.3513755
AST0319,water_tower,Unknown,42.4245036,-88.6017751
AST0320,water_tower,Water Tower,39.3187648,-88.4542621
AST0321,water_tower,Unknown,42.4016347,-88.233371
AST0322,water_tower,Byron Water Tower,42.1272593,-89.2522895
AST0323,water_tower,Unknown,41.8777757,-89.4790691
AST0324,water_tower,Unknown,39.7162658,-90.2381759
AST0325,water_tower,Unknown,41.3445046,-89.006358
AST0326,water_tower,Unknown,42.2586792,-88.1406838
AST0327,water_tower,Unknown,39.9648358,-87.6364732
AST0328,water_tower,Island Lake,42.2776138,-88.2060607
AST0329,water_tower,Unknown,42.2754185,-88.1882636
AST0330,water_tower,Unknown,42.3339582,-88.1322896
AST0331,water_tower,Unknown,42.2531209,-88.9019233
AST0332,water_tower,Unknown,39.528658,-89.318664
AST0333,water_tower,Cortland Water Tower,41.9247372,-88.6942688
AST0334,water_tower,East Cortland Water Tower,41.9194636,-88.6786529
AST0335,water_tower,Unknown,40.0087719,-89.2841878
AST0336,water_tower,Unknown,40.3140082,-89.1691893
AST0337,water_tower,Unknown,41.7672181,-87.9458457
AST0338,water_tower,Unknown,42.1923841,-88.2242426
AST0339,water_tower,Nashville Water Tower,38.3448224,-89.3820635
AST0340,water_tower,Unknown,40.9189323,-89.4965976
AST0341,water_tower,Unknown,40.906014,-89.5096208
AST0342,water_tower,Unknown,41.749645,-87.9760685
AST0343,water_tower,Unknown,41.9924801,-88.1818295
AST0344,water_tower,Unknown,37.9408533,-89.2346275
AST0345,water_tower,Ashkum Water Tower,40.8792102,-87.9543576
AST0346,water_tower,Unknown,42.3262627,-89.0051229
AST0347,water_tower,Unknown,42.4419693,-89.078136
AST0348,water_tower,Unknown,39.6776471,-89.692331
AST0349,water_tower,Unknown,40.5566963,-90.0852513
AST0350,water_tower,Unknown,41.2641517,-88.2180261
AST0351,water_tower,Unknown,41.8610719,-89.4828338
AST0352,water_tower,Unknown,41.8591689,-89.4992242
AST0353,water_tower,Unknown,41.8352357,-89.455611
AST0354,water_tower,Illinois Central Raiolroad Water Tower,38.7632611,-88.8579744
AST0355,water_tower,Unknown,41.5156936,-87.9986851
AST0356,water_tower,Unknown,41.5107622,-88.1495845
AST0357,water_tower,Unknown,41.4963192,-88.1730747
AST0358,water_tower,Waterloo Water Tower,38.3335248,-90.1504002
AST0359,water_tower,Diamond Water Tower,41.2887254,-88.2587724
AST0360,water_tower,Unknown,41.94799,-89.079852
AST0361,water_tower,Unknown,38.332752,-89.3787238
AST0362,water_tower,Unknown,39.3888729,-89.0951943
AST0363,water_tower,Unknown,37.5539957,-88.97089
AST0364,water_tower,Unknown,39.6084137,-90.8070305
AST0365,water_tower,Unknown,39.4417412,-89.6504636
AST0366,water_tower,Columbia Water Tower Northeast,38.446707,-90.1906542
AST0367,water_tower,Unknown,42.2047856,-88.2431792
AST0368,water_tower,Unknown,41.9112036,-88.3263963
AST0369,water_tower,Unknown,37.6114439,-89.0385356
AST0370,water_tower,Unknown,42.2571582,-88.2515567
AST0371,water_tower,Unknown,37.6794409,-88.9992841
AST0372,water_tower,Unknown,37.2164745,-88.8773359
AST0373,water_tower,Unknown,41.6148327,-87.9338622
AST0374,water_tower,Hampshire water tower,42.0917667,-88.4963279
AST0375,water_tower,Unknown,41.617018,-87.6318763
AST0376,water_tower,Unknown,42.4402789,-88.0629393
AST0377,water_tower,Unknown,42.2749344,-88.1474914
AST0378,water_tower,Unknown,42.4659858,-88.1165602
AST0379,water_tower,Unknown,42.487265,-88.0896697
AST0380,water_tower,Unknown,42.2822994,-89.6367547
AST0381,water_tower,Fire & Water Smoke Team,41.9170113,-87.8052199
AST0382,water_tower,Unknown,41.2627099,-89.228818
AST0383,water_tower,Unknown,41.2934974,-89.0728109
AST0384,water_tower,Unknown,41.326293,-89.1967282
AST0385,water_tower,Unknown,41.3827487,-89.2175456
AST0386,water_tower,Unknown,41.3848491,-89.2173752
AST0387,water_tower,Glen Carbon Water Tower,38.7745766,-89.9585709
AST0388,water_tower,Unknown,40.9214329,-90.6512494
AST0389,water_tower,Unknown,38.1300473,-89.7019082
AST0390,water_tower,Unknown,38.0926327,-88.5481685
AST0391,water_tower,Unknown,38.6289743,-88.9344013
AST0392,water_tower,Unknown,39.0214203,-89.7814037
AST0393,water_tower,Unknown,38.7894552,-89.7789094
AST0394,water_tower,Unknown,39.4056105,-88.8063316
AST0395,water_tower,Unknown,39.8585467,-88.9773751
AST0396,water_tower,Unknown,41.2618658,-89.2499687
AST0397,water_tower,Unknown,40.006516,-90.4332653
AST0398,water_tower,Unknown,40.1210383,-90.5855842
AST0399,water_tower,Unknown,40.5794928,-89.6146497
AST0400,water_tower,Unknown,40.2598161,-89.2352881
AST0401,water_tower,Unknown,41.1071888,-88.4210082
AST0402,water_tower,Unknown,42.2206943,-88.3835422
AST0403,water_tower,Unknown,41.6081234,-87.8757823
AST0404,water_tower,Unknown,41.2945587,-88.1359641
AST0405,water_tower,Aviston Water Tower,38.612975,-89.6077652
AST0406,water_tower,Unknown,38.5532357,-89.5393908
AST0407,water_tower,Unknown,38.6082303,-89.610392
AST0408,water_tower,Unknown,38.6227138,-89.5350306
AST0409,water_tower,Unknown,41.9487218,-88.3065962
AST0410,water_tower,Unknown,38.4777715,-90.1628456
AST0411,water_tower,Unknown,38.4443175,-90.168358
AST0412,water_tower,Unknown,42.4711606,-88.4335444
AST0413,water_tower,Unknown,41.4478714,-88.2792285
AST0414,water_tower,Unknown,38.9317984,-89.9414207
AST0415,water_tower,Unknown,38.8785388,-89.9659347
AST0416,water_tower,Unknown,39.3998995,-89.8078942
AST0417,water_tower,Unknown,38.3681938,-89.3706618
AST0418,water_tower,Unknown,42.371168,-88.8257251
AST0419,water_tower,Unknown,38.9613216,-89.7992107
AST0420,water_tower,Unknown,38.0525645,-89.4768445
AST0421,water_tower,Unknown,40.762144,-89.4725544
AST0422,water_tower,Unknown,40.7617336,-89.4729272
AST0423,water_tower,Unknown,38.379444,-89.7989684
AST0424,water_tower,Unknown,38.3646231,-89.7120085
AST0425,water_tower,Unknown,38.6056146,-89.4432203
AST0426,water_tower,Unknown,38.613184,-89.8156491
AST0427,water_tower,Unknown,38.4518459,-90.0918789
AST0428,water_tower,Unknown,42.4961934,-88.3247521
AST0429,water_tower,Unknown,40.4203799,-89.4124246
AST0430,water_tower,Unknown,41.3323355,-88.873542
AST0431,water_tower,Water Tower,38.0888353,-89.0533068
AST0432,water_tower,Unknown,38.6042073,-89.8079285
AST0433,water_tower,Unknown,42.2579751,-88.2800759
AST0434,water_tower,Unknown,42.1864168,-88.1875106
AST0435,water_tower,Unknown,41.3707854,-88.4504959
AST0436,water_tower,Unknown,37.814999,-89.2360214
AST0437,water_tower,Unknown,37.8308947,-89.1442843
AST0438,water_tower,Unknown,41.023789,-89.4004557
AST0439,water_tower,Wilmette Water Tower,42.0749795,-87.762605
AST0440,water_tower,East Carondelet Water Tower,38.5346993,-90.2250977
AST0441,water_tower,Unknown,40.4645459,-89.9827212
AST0442,water_tower,Country Club Hills Water Tower,41.5563295,-87.7367349
AST0443,water_tower,Palos Park Water Tower,41.6673405,-87.8529773
AST0444,water_tower,Park Forest Water Tower,41.472842,-87.6924688
AST0445,water_tower,Unknown,37.661923,-88.9869792
AST0446,water_tower,Unknown,42.487719,-88.3016666
AST0447,water_tower,Unknown,42.231481,-88.545708
AST0448,water_tower,Unknown,42.2637272,-89.101904
AST0449,water_tower,Unknown,40.5947737,-89.663486
AST0450,water_tower,Unknown,41.8811564,-87.8206495
AST0451,water_tower,Vienna,37.4375838,-88.8940418
AST0452,water_tower,Unknown,40.2044033,-88.3670042
AST0453,water_tower,Unknown,41.3921102,-88.417357
AST0454,water_tower,Unknown,41.3812402,-88.8404403
AST0455,water_tower,Unknown,41.3613089,-89.0060366
AST0456,water_tower,Unknown,41.3635814,-89.0151407
AST0457,water_tower,Unknown,41.3573539,-89.1716866
AST0458,water_tower,Unknown,41.3528503,-89.2191952
AST0459,water_tower,Unknown,41.3963654,-89.4502485
AST0460,water_tower,Unknown,41.3871182,-89.4549658
AST0461,water_tower,Unknown,41.3827922,-89.836703
AST0462,water_tower,Unknown,41.3991603,-89.9068868
AST0463,water_tower,Unknown,41.4213645,-90.0125695
AST0464,water_tower,Unknown,41.366099,-89.5841149
AST0465,water_tower,Unknown,41.1788098,-89.6601241
AST0466,water_tower,Unknown,39.1845161,-88.6496386
AST0467,water_tower,Unknown,41.3057778,-88.5634545
AST0468,water_tower,Unknown,39.8231903,-89.7543029
AST0469,water_tower,Unknown,39.1177713,-90.3282068
AST0470,water_tower,Unknown,39.1091691,-90.3089651
AST0471,water_tower,Unknown,41.1630592,-90.0283833
AST0472,water_tower,Unknown,41.1677559,-90.0412526
AST0473,water_tower,East Dundee,42.1066043,-88.2398121
AST0474,water_tower,Unknown,39.065931,-88.3901113
AST0475,water_tower,Unknown,39.1027696,-88.335169
AST0476,water_tower,Unknown,41.2270646,-89.9311037
AST0477,water_tower,Unknown,41.2472368,-89.9256369
AST0478,water_tower,Unknown,41.4971757,-87.6986438
AST0479,water_tower,Hazel Crest Water Tower,41.5506169,-87.7129045
AST0480,water_tower,Unknown,42.3458449,-88.2597682
AST0481,water_tower,Unknown,41.2968947,-89.791385
AST0482,water_tower,Unknown,39.8361147,-89.0036399
AST0483,water_tower,Unknown,41.6149153,-88.7989219
AST0484,water_tower,Unknown,41.6463812,-88.6244416
AST0485,water_tower,Unknown,39.7927578,-88.9536773
AST0486,water_tower,Unknown,39.7859767,-88.9248535
AST0487,water_tower,Unknown,42.4556383,-89.0222651
AST0488,water_tower,Unknown,39.9310954,-89.0625864
